#Returns a data frame with the initial values (I), rate estimates (P)
#Log likelihoods (L) and standard error of the rate (S)

#Total time to run about 5 minutes (w/ 50 points)

$spg
             I lb    ub        P         L         S
V1   0.0100000  0 1e+50 124.6600 -8.317813  1294.623
V2   0.2138776  0 1e+50 121.0388 -8.317828  1120.017
V3   0.4177551  0 1e+50 127.9668 -8.317802  1477.970
V4   0.6216327  0 1e+50 123.5605 -8.317817  1239.188
V5   0.8255102  0 1e+50 130.4078 -8.317796  1629.980
V6   1.0293878  0 1e+50 123.1769 -8.317819  1221.196
V7   1.2332653  0 1e+50 125.6271 -8.317809  1345.747
V8   1.4371429  0 1e+50 126.0777 -8.317808  1369.721
V9   1.6410204  0 1e+50 126.0619 -8.317808  1369.636
V10  1.8448980  0 1e+50 128.0351 -8.317802  1481.042
V11  2.0487755  0 1e+50 125.7439 -8.317809  1351.579
V12  2.2526531  0 1e+50 126.8579 -8.317805  1413.303
V13  2.4565306  0 1e+50 129.2234 -8.317799  1553.380
V14  2.6604082  0 1e+50 146.8291 -8.317774  3130.267
V15  2.8642857  0 1e+50 123.9705 -8.317815  1259.400
V16  3.0681633  0 1e+50 132.3854 -8.317791  1760.583
V17  3.2720408  0 1e+50 122.8927 -8.317820  1207.113
V18  3.4759184  0 1e+50 125.9592 -8.317808  1363.923
V19  3.6797959  0 1e+50 122.0414 -8.317824  1165.885
V20  3.8836735  0 1e+50 121.5708 -8.317826  1143.852
V21  4.0875510  0 1e+50 123.2290 -8.317818  1222.995
V22  4.2914286  0 1e+50 127.7231 -8.317803  1462.322
V23  4.4953061  0 1e+50 129.2356 -8.317799  1554.805
V24  4.6991837  0 1e+50 124.9250 -8.317812  1308.988
V25  4.9030612  0 1e+50 176.2259 -8.317767 10268.626
V26  5.1069388  0 1e+50 129.8602 -8.317797  1593.772
V27  5.3108163  0 1e+50 122.6527 -8.317821  1194.482
V28  5.5146939  0 1e+50 125.3352 -8.317810  1330.125
V29  5.7185714  0 1e+50 122.0395 -8.317824  1165.886
V30  5.9224490  0 1e+50 129.0348 -8.317799  1543.603
V31  6.1263265  0 1e+50 126.7986 -8.317805  1409.506
V32  6.3302041  0 1e+50 126.4812 -8.317806  1391.395
V33  6.5340816  0 1e+50 126.2716 -8.317807  1380.949
V34  6.7379592  0 1e+50 125.6304 -8.317809  1345.206
V35  6.9418367  0 1e+50 125.8346 -8.317809  1357.102
V36  7.1457143  0 1e+50 125.9763 -8.317808  1365.132
V37  7.3495918  0 1e+50 126.1359 -8.317808  1372.802
V38  7.5534694  0 1e+50 126.3426 -8.317807  1383.755
V39  7.7573469  0 1e+50 125.8980 -8.317808  1361.135
V40  7.9612245  0 1e+50 127.4642 -8.317803  1447.774
V41  8.1651020  0 1e+50 126.9436 -8.317805  1418.768
V42  8.3689796  0 1e+50 128.0310 -8.317802  1482.157
V43  8.5728571  0 1e+50 127.7039 -8.317803  1462.375
V44  8.7767347  0 1e+50 129.0364 -8.317799  1542.995
V45  8.9806122  0 1e+50 128.0799 -8.317802  1483.678
V46  9.1844898  0 1e+50 129.1365 -8.317799  1547.970
V47  9.3883673  0 1e+50 129.5392 -8.317798  1573.663
V48  9.5922449  0 1e+50 120.5714 -8.317831  1099.231
V49  9.7961224  0 1e+50 120.9885 -8.317829  1117.633
V50 10.0000000  0 1e+50 131.7237 -8.317793  1719.200

$Rcgmin
             I lb    ub         P         L          S
V1   0.0100000  0 1e+50    0.0100 -8.317766 116319.209
V2   0.2138776  0 1e+50  146.2290 -8.317774   3074.581
V3   0.4177551  0 1e+50  150.0847 -8.317772   3578.211
V4   0.6216327  0 1e+50  154.3116 -8.317771   4242.991
V5   0.8255102  0 1e+50  149.9148 -8.317772   3549.517
V6   1.0293878  0 1e+50  153.4432 -8.317771   4106.495
V7   1.2332653  0 1e+50  147.0972 -8.317774   3181.782
V8   1.4371429  0 1e+50  149.4757 -8.317773   3487.750
V9   1.6410204  0 1e+50  247.6518 -8.317766        NaN
V10  1.8448980  0 1e+50  150.5515 -8.317772   3649.914
V11  2.0487755  0 1e+50 1025.3374 -8.317766        NaN
V12  2.2526531  0 1e+50  253.2485 -8.317766 212440.219
V13  2.4565306  0 1e+50  150.3022 -8.317772   3617.528
V14  2.6604082  0 1e+50  206.7949 -8.317766  41174.708
V15  2.8642857  0 1e+50  375.6542 -8.317766  83477.743
V16  3.0681633  0 1e+50  146.0624 -8.317775   3052.911
V17  3.2720408  0 1e+50  153.1771 -8.317771   4036.690
V18  3.4759184  0 1e+50  147.5254 -8.317774   3231.585
V19  3.6797959  0 1e+50  150.6103 -8.317772   3642.981
V20  3.8836735  0 1e+50  159.1491 -8.317769   5128.134
V21  4.0875510  0 1e+50  208.4471 -8.317766  45919.998
V22  4.2914286  0 1e+50  149.1711 -8.317773   3445.827
V23  4.4953061  0 1e+50  155.3338 -8.317770   4424.699
V24  4.6991837  0 1e+50  126.9934 -8.317805   1422.707
V25  4.9030612  0 1e+50  150.0650 -8.317772   3572.337
V26  5.1069388  0 1e+50  152.6936 -8.317771   3958.562
V27  5.3108163  0 1e+50  149.1882 -8.317773   3439.381
V28  5.5146939  0 1e+50  151.9916 -8.317771   3861.857
V29  5.7185714  0 1e+50  182.4026 -8.317767  12300.017
V30  5.9224490  0 1e+50  166.9462 -8.317768   7073.322
V31  6.1263265  0 1e+50  148.8882 -8.317773   3400.511
V32  6.3302041  0 1e+50  985.5415 -8.317766        NaN
V33  6.5340816  0 1e+50  154.4935 -8.317770   4268.102
V34  6.7379592  0 1e+50 2325.2450 -8.317766        NaN
V35  6.9418367  0 1e+50  173.2415 -8.317767   8999.732
V36  7.1457143  0 1e+50  158.9086 -8.317769   5172.154
V37  7.3495918  0 1e+50  149.2246 -8.317773   3449.024
V38  7.5534694  0 1e+50  155.0765 -8.317770   4339.872
V39  7.7573469  0 1e+50  363.3393 -8.317766  83732.560
V40  7.9612245  0 1e+50  153.6793 -8.317771   4137.628
V41  8.1651020  0 1e+50  209.9905 -8.317766  36145.800
V42  8.3689796  0 1e+50  553.2283 -8.317766        NaN
V43  8.5728571  0 1e+50  153.0150 -8.317771   4039.401
V44  8.7767347  0 1e+50  150.2751 -8.317772   3619.856
V45  8.9806122  0 1e+50  157.5699 -8.317770   4834.567
V46  9.1844898  0 1e+50  149.5705 -8.317773   3512.797
V47  9.3883673  0 1e+50  154.4462 -8.317770   4217.900
V48  9.5922449  0 1e+50  151.0427 -8.317772   3725.373
V49  9.7961224  0 1e+50  145.1529 -8.317775   2933.199
V50 10.0000000  0 1e+50  178.0553 -8.317767  11125.181

$Rvmmin
             I    lb          ub            P            L         S
V1   0.0100000 0e+00 1.00000e+50     0.010000   -23.284159 116319.21
V2   0.2138776 0e+00 1.00000e+50   409.946880    -8.317766       NaN
V3   0.4177551 0e+00 1.00000e+50   217.592414    -8.317766  51627.21
V4   0.6216327 0e+00 1.00000e+50   461.527878    -8.317766       NaN
V5   0.8255102 0e+00 1.00000e+50   210.555905    -8.317766  48987.54
V6   1.0293878 0e+00 1.00000e+50   228.478939    -8.317766       NaN
V7   1.2332653 0e+00 1.00000e+50   213.930059    -8.317766  45219.05
V8   1.4371429 0e+00 1.00000e+50   250.778438    -8.317766       NaN
V9   1.6410204 0e+00 1.00000e+50   209.554074    -8.317766  42021.06
V10  1.8448980 0e+00 1.00000e+50   223.025151    -8.317766       NaN
