#Returns a data frame with the initial values (I),
#Log likelihoods (L), beta (B), and delta (D)

#Total time to run about 8 minutes (w/ 50 points)

$spg
            I         L       bLB      bUB          b       dLB      dUB         d        tune
V1    1.00000  4.772490 -18.42068 2.995732 0.12032851 -18.42068 0.000000   1.00000 0.011683333
V2   15.26531 10.361495 -18.42068 2.995732 0.02151025 -18.42068 2.725583  15.26531 0.008166667
V3   29.53061 10.440565 -18.42068 2.995732 0.02074103 -18.42068 3.385427  21.09364 0.010450000
V4   43.79592 10.440565 -18.42068 2.995732 0.02074097 -18.42068 3.779541  21.09358 0.009850000
V5   58.06122 10.440565 -18.42068 2.995732 0.02074096 -18.42068 4.061498  21.09357 0.010150000
V6   72.32653 10.440565 -18.42068 2.995732 0.02074104 -18.42068 4.281191  21.09358 0.010066667
V7   86.59184 10.440565 -18.42068 2.995732 0.02074104 -18.42068 4.461206  21.09358 0.010650000
V8  100.85714 10.440565 -18.42068 2.995732 0.02074104 -18.42068 4.613705  21.09358 0.010900000
V9  115.12245 10.440565 -18.42068 2.995732 0.02074104 -18.42068 4.745996  21.09358 0.012200000
V10 129.38776 10.440565 -18.42068 2.995732 0.02074106 -18.42068 4.862814  21.09328 0.011300000
V11 143.65306 10.440565 -18.42068 2.995732 0.02074103 -18.42068 4.967401  21.09356 0.012100000
V12 157.91837 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.062078  21.09358 0.013683333
V13 172.18367 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.148562  21.09358 0.013683333
V14 186.44898 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.228158  21.09358 0.013350000
V15 200.71429 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.301882  21.09358 0.014083333
V16 214.97959 10.440565 -18.42068 2.995732 0.02074101 -18.42068 5.370543  21.09358 0.014050000
V17 229.24490 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.434791  21.09358 0.014183333
V18 243.51020 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.495159  21.09358 0.016400000
V19 257.77551 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.552089  21.09358 0.017366667
V20 272.04082 10.440565 -18.42068 2.995732 0.02074106 -18.42068 5.605952  21.09327 0.017133333
V21 286.30612 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.657062  21.09351 0.018400000
V22 300.57143 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.705685  21.09358 0.019133333
V23 314.83673 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.752054  21.09358 0.016833333
V24 329.10204 10.440565 -18.42068 2.995732 0.02074103 -18.42068 5.796368  21.09368 0.017283333
V25 343.36735 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.838801  21.09358 0.019866667
V26 357.63265 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.879506  21.09358 0.025666667
V27 371.89796 10.440565 -18.42068 2.995732 0.02074105 -18.42068 5.918620  21.09336 0.021983333
V28 386.16327 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.956260  21.09358 0.025516667
V29 400.42857 10.440565 -18.42068 2.995732 0.02074104 -18.42068 5.992535  21.09355 0.024016667
V30 414.69388  9.805224 -18.42068 2.995732 0.02220649 -18.42068 6.027541 414.68077 0.008533333
V31 428.95918  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.061362 428.95018 0.008600000
V32 443.22449  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.094076 443.21895 0.009133333
V33 457.48980  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.125755 457.48621 0.008450000
V34 471.75510  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.156460 471.75279 0.008466667
V35 486.02041  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.186251 486.01891 0.009066667
V36 500.28571  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.215179 500.28476 0.009083333
V37 514.55102  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.243295 514.55040 0.008550000
V38 528.81633  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.270641 528.81592 0.008500000
V39 543.08163  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.297260 543.08139 0.008450000
V40 557.34694  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.323188 557.34614 0.009100000
V41 571.61224  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.348461 571.61214 0.009066667
V42 585.87755  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.373111 585.87683 0.008466667
V43 600.14286  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.397168 600.14281 0.009100000
V44 614.40816  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.420659 614.40815 0.008550000
V45 628.67347  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.443612 628.67344 0.008566667
V46 642.93878  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.466050 642.93877 0.008583333
V47 657.20408  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.487995 657.20407 0.008450000
V48 671.46939  9.805223 -18.42068 2.995732 0.02220649 -18.42068 6.509468 671.46937 0.008566667
