"","X..3"
"Acinonyx_jubatus",2
"Acomys_cahirinus",0
"Addax_nasomaculatus",2
"Aepyceros_melampus",2
"Aethomys_chrysophilus",0
"Aethomys_kaiseri",0
"Aethomys_namaquensis",0
"Agouti_paca",2
"Ailuropoda_melanoleuca",2
"Ailurus_fulgens",2
"Akodon_azarae",0
"Akodon_molinae",0
"Alcelaphus_buselaphus",2
"Alces_alces",2
"Allactaga_elater",1
"Allenopithecus_nigroviridis",2
"Alopex_lagopus",1
"Alouatta_caraya",2
"Alouatta_palliata",2
"Alouatta_seniculus",2
"Alticola_strelzowi",0
"Amblonyx_cinereus",2
"Ammospermophilus_harrisii",1
"Ammospermophilus_leucurus",2
"Ammotragus_lervia",2
"Antidorcas_marsupialis",2
"Antilocapra_americana",2
"Antilope_cervicapra",2
"Aonyx_capensis",1
"Aotus_azarai",2
"Aotus_lemurinus",2
"Aotus_trivirgatus",2
"Aplodontia_rufa",1
"Apodemus_agrarius",0
"Apodemus_flavicollis",0
"Apodemus_mystacinus",0
"Apodemus_sylvaticus",0
"Arborimus_longicaudus",1
"Arctictis_binturong",2
"Arctocebus_calabarensis",2
"Arctocephalus_australis",2
"Arctocephalus_forsteri",2
"Arctocephalus_galapagoensis",2
"Arctocephalus_gazella",2
"Arctocephalus_pusillus",2
"Arctocephalus_tropicalis",2
"Arctogalidia_trivirgata",2
"Arctonyx_collaris",2
"Arvicanthis_niloticus",0
"Arvicola_terrestris",0
"Atelerix_albiventris",1
"Atelerix_algirus",1
"Atelerix_frontalis",1
"Ateles_fusciceps",2
"Ateles_geoffroyi",2
"Ateles_paniscus",2
"Atilax_paludinosus",1
"Avahi_laniger",2
"Axis_axis",2
"Axis_porcinus",2
"Babyrousa_babyrussa",2
"Baiomys_taylori",0
"Balaena_mysticetus",2
"Balaenoptera_acutorostrata",2
"Balaenoptera_borealis",2
"Balaenoptera_edeni",2
"Balaenoptera_musculus",2
"Balaenoptera_physalus",2
"Bandicota_bengalensis",0
"Bandicota_indica",0
"Bassariscus_astutus",2
"Bathyergus_janetta",0
"Bathyergus_suillus",0
"Beamys_hindei",1
"Bison_bison",2
"Bison_bonasus",2
"Blarina_brevicauda",0
"Blarina_hylophaga",0
"Bos_frontalis",2
"Bos_grunniens",2
"Bos_javanicus",2
"Brachyteles_arachnoides",2
"Bradypus_tridactylus",1
"Bradypus_variegatus",1
"Bubalus_bubalis",2
"Cacajao_calvus",2
"Callicebus_cupreus",2
"Callicebus_moloch",2
"Callicebus_torquatus",2
"Callimico_goeldii",2
"Callithrix_jacchus",2
"Callithrix_pygmaea",2
"Callorhinus_ursinus",2
"Calomys_callosus",0
"Camelus_bactrianus",2
"Camelus_dromedarius",2
"Canis_adustus",1
"Canis_aureus",2
"Canis_latrans",1
"Canis_lupus",1
"Canis_mesomelas",2
"Canis_simensis",2
"Cannomys_badius",2
"Caperea_marginata",2
"Capra_cylindricornis",2
"Capra_falconeri",2
"Capra_hircus",2
"Capra_ibex",2
"Capreolus_capreolus",2
"Capreolus_pygargus",2
"Capromys_pilorides",2
"Caracal_caracal",2
"Castor_canadensis",1
"Castor_fiber",2
"Cavia_aperea",0
"Cavia_porcellus",0
"Cebus_albifrons",2
"Cebus_apella",2
"Cebus_capucinus",2
"Cebus_olivaceus",2
"Cephalophus_maxwellii",2
"Cephalophus_silvicultor",1
"Ceratotherium_simum",2
"Cercocebus_galeritus",2
"Cercopithecus_ascanius",2
"Cercopithecus_campbelli",2
"Cercopithecus_diana",2
"Cercopithecus_erythrotis",2
"Cercopithecus_mitis",2
"Cercopithecus_neglectus",2
"Cerdocyon_thous",2
"Cervus_elaphus",2
"Cervus_eldii",2
"Cervus_nippon",2
"Cervus_timorensis",2
"Cervus_unicolor",2
"Chaerephon_johorensis",2
"Chaetodipus_californicus",0
"Chaetodipus_formosus",0
"Chaetodipus_intermedius",0
"Chaetodipus_penicillatus",0
"Chaetophractus_villosus",1
"Cheirogaleus_major",1
"Cheirogaleus_medius",2
"Chinchilla_lanigera",1
"Chionomys_nivalis",0
"Chiropodomys_gliroides",0
"Chlorocebus_aethiops",2
"Choloepus_didactylus",2
"Choloepus_hoffmanni",0
"Chrysochloris_asiatica",2
"Chrysochloris_stuhlmanni",2
"Chrysocyon_brachyurus",2
