#Returns a data frame with the initial values (I), theta estimates (T)
#Log likelihoods (L), sigma (S), and alpha (A)

#Total time to run about 3 minutes (w/ 50 points)

$spg
            I        T        L         S        A
V1  0.1000000 4.241045 9.841744 0.4970975 3.034907
V2  0.1795918 4.241046 9.841744 0.4970356 3.034498
V3  0.2591837 4.241045 9.841744 0.4971581 3.035307
V4  0.3387755 4.241045 9.841744 0.4970959 3.034897
V5  0.4183673 4.241046 9.841744 0.4970751 3.034760
V6  0.4979592 4.241046 9.841744 0.4970674 3.034708
V7  0.5775510 4.241046 9.841744 0.4970786 3.034783
V8  0.6571429 4.241043 9.841744 0.4973328 3.036461
V9  0.7367347 4.241046 9.841744 0.4970584 3.034649
V10 0.8163265 4.241045 9.841744 0.4971531 3.035275
V11 0.8959184 4.241045 9.841744 0.4971734 3.035409
V12 0.9755102 4.241044 9.841744 0.4971959 3.035557
V13 1.0551020 4.241045 9.841744 0.4971483 3.035243
V14 1.1346939 4.241045 9.841744 0.4971838 3.035477
V15 1.2142857 4.241045 9.841744 0.4971178 3.035041
V16 1.2938776 4.241043 9.841744 0.4972993 3.036240
V17 1.3734694 4.241045 9.841744 0.4971567 3.035298
V18 1.4530612 4.241045 9.841744 0.4971686 3.035377
V19 1.5326531 4.241045 9.841744 0.4970969 3.034903
V20 1.6122449 4.241045 9.841744 0.4971277 3.035107
V21 1.6918367 4.241045 9.841744 0.4971580 3.035307
V22 1.7714286 4.241045 9.841744 0.4971357 3.035160
V23 1.8510204 4.241045 9.841744 0.4971808 3.035457
V24 1.9306122 4.241043 9.841744 0.4972996 3.036242
V25 2.0102041 4.241043 9.841744 0.4973397 3.036507
V26 2.0897959 4.241045 9.841744 0.4971074 3.034973
V27 2.1693878 4.241044 9.841744 0.4972579 3.035966
V28 2.2489796 4.241044 9.841744 0.4972052 3.035618
V29 2.3285714 4.241045 9.841744 0.4971914 3.035527
V30 2.4081633 4.241045 9.841744 0.4971344 3.035151
V31 2.4877551 4.241044 9.841744 0.4972144 3.035679
V32 2.5673469 4.241044 9.841744 0.4972014 3.035594
V33 2.6469388 4.241044 9.841744 0.4972122 3.035665
V34 2.7265306 4.241046 9.841744 0.4970360 3.034501
V35 2.8061224 4.241043 9.841744 0.4973043 3.036273
V36 2.8857143 4.241043 9.841744 0.4973078 3.036296
V37 2.9653061 4.241043 9.841744 0.4973251 3.036410
V38 3.0448980 4.241043 9.841744 0.4973198 3.036375
V39 3.1244898 4.241044 9.841744 0.4972272 3.035764
V40 3.2040816 4.241044 9.841744 0.4972176 3.035701
V41 3.2836735 4.241045 9.841744 0.4971587 3.035311
V42 3.3632653 4.241044 9.841744 0.4972537 3.035939
V43 3.4428571 4.241044 9.841744 0.4972333 3.035804
V44 3.5224490 4.241043 9.841744 0.4973382 3.036497
V45 3.6020408 4.241043 9.841744 0.4973350 3.036476
V46 3.6816327 4.241043 9.841744 0.4973128 3.036329
V47 3.7612245 4.241044 9.841744 0.4971980 3.035571
V48 3.8408163 4.241044 9.841744 0.4972880 3.036166
V49 3.9204082 4.241046 9.841744 0.4970652 3.034694
V50 4.0000000 4.241044 9.841744 0.4972599 3.035980

$Rcgmin
            I        T        L         S         A
V1  0.1000000 4.241044 9.841744 0.4971962  3.035559
V2  0.1795918 4.235734 9.805223 3.6023473 22.380689
V3  0.2591837 4.241044 9.841744 0.4971978  3.035569
V4  0.3387755 4.241044 9.841744 0.4971962  3.035559
V5  0.4183673 4.241044 9.841744 0.4971996  3.035581
V6  0.4979592 4.241044 9.841744 0.4971967  3.035562
V7  0.5775510 4.241044 9.841744 0.4971977  3.035569
V8  0.6571429 4.241044 9.841744 0.4971962  3.035559
V9  0.7367347 4.241044 9.841744 0.4971968  3.035563
V10 0.8163265 4.241044 9.841744 0.4971965  3.035561
V11 0.8959184 4.241044 9.841744 0.4971954  3.035554
V12 0.9755102 4.241044 9.841744 0.4971990  3.035577
V13 1.0551020 4.241044 9.841744 0.4971984  3.035573
V14 1.1346939 4.241044 9.841744 0.4971982  3.035572
V15 1.2142857 4.241044 9.841744 0.4971974  3.035567
V16 1.2938776 4.241044 9.841744 0.4971948  3.035549
V17 1.3734694 4.241044 9.841744 0.4971964  3.035560
V18 1.4530612 4.241050 9.841744 0.4966542  3.031994
V19 1.5326531 4.241044 9.841744 0.4971983  3.035572
V20 1.6122449 4.241044 9.841744 0.4971975  3.035568
V21 1.6918367 4.241044 9.841744 0.4971955  3.035555
V22 1.7714286 4.241044 9.841744 0.4971970  3.035564
V23 1.8510204 4.241044 9.841744 0.4971982  3.035572
V24 1.9306122 4.241045 9.841744 0.4971912  3.035526
V25 2.0102041 4.241044 9.841744 0.4971978  3.035569
V26 2.0897959 4.241045 9.841744 0.4971932  3.035539
V27 2.1693878 4.241044 9.841744 0.4971958  3.035557
V28 2.2489796 4.241044 9.841744 0.4971972  3.035566
V29 2.3285714 4.241044 9.841744 0.4971977  3.035569
V30 2.4081633 4.241044 9.841744 0.4971981  3.035571
V31 2.4877551 4.241044 9.841744 0.4971967  3.035562
V32 2.5673469 4.241044 9.841744 0.4971986  3.035575
V33 2.6469388 4.241045 9.841744 0.4971902  3.035519
V34 2.7265306 4.241044 9.841744 0.4971987  3.035575
V35 2.8061224 4.241044 9.841744 0.4971976  3.035568
V36 2.8857143 4.241044 9.841744 0.4971996  3.035581
V37 2.9653061 4.241044 9.841744 0.4971985  3.035574
V38 3.0448980 4.241045 9.841744 0.4971928  3.035537
V39 3.1244898 4.241044 9.841744 0.4971962  3.035559
V40 3.2040816 4.241044 9.841744 0.4971979  3.035570
V41 3.2836735 4.241044 9.841744 0.4971990  3.035577
V42 3.3632653 4.241044 9.841744 0.4971957  3.035556
V43 3.4428571 4.241044 9.841744 0.4971961  3.035558
V44 3.5224490 4.241044 9.841744 0.4971955  3.035554
V45 3.6020408 4.241044 9.841744 0.4971977  3.035569
V46 3.6816327 4.241044 9.841744 0.4971989  3.035577
V47 3.7612245 4.241044 9.841744 0.4971986  3.035575
V48 3.8408163 4.241044 9.841744 0.4971970  3.035564
V49 3.9204082 4.241044 9.841744 0.4971972  3.035566
V50 4.0000000 4.241044 9.841744 0.4971980  3.035571

$Rvmmin
            I        T        L         S        A
V1  0.1000000 4.241044 9.841744 0.4971940 3.035544
V2  0.1795918 4.241044 9.841744 0.4971938 3.035543
V3  0.2591837 4.241044 9.841744 0.4971941 3.035545
V4  0.3387755 4.241044 9.841744 0.4971947 3.035549
V5  0.4183673 4.241044 9.841744 0.4971953 3.035553
V6  0.4979592 4.241044 9.841744 0.4971940 3.035544
V7  0.5775510 4.241044 9.841744 0.4971939 3.035544
V8  0.6571429 4.241044 9.841744 0.4971941 3.035545
V9  0.7367347 4.241044 9.841744 0.4971939 3.035544
V10 0.8163265 4.241044 9.841744 0.4971937 3.035543
V11 0.8959184 4.241044 9.841744 0.4971945 3.035548
V12 0.9755102 4.241044 9.841744 0.4971941 3.035545
V13 1.0551020 4.241044 9.841744 0.4971938 3.035543
V14 1.1346939 4.241044 9.841744 0.4971938 3.035543
V15 1.2142857 4.241044 9.841744 0.4971941 3.035545
V16 1.2938776 4.241044 9.841744 0.4971938 3.035543
V17 1.3734694 4.241044 9.841744 0.4971938 3.035543
V18 1.4530612 4.241044 9.841744 0.4971947 3.035549
V19 1.5326531 4.241044 9.841744 0.4971938 3.035543
V20 1.6122449 4.241044 9.841744 0.4971941 3.035545
V21 1.6918367 4.241044 9.841744 0.4971945 3.035548
V22 1.7714286 4.241044 9.841744 0.4971947 3.035549
V23 1.8510204 4.241044 9.841744 0.4971939 3.035544
V24 1.9306122 4.241044 9.841744 0.4971954 3.035554
V25 2.0102041 4.241044 9.841744 0.4971941 3.035545
V26 2.0897959 4.241044 9.841744 0.4971939 3.035544
V27 2.1693878 4.241044 9.841744 0.4971938 3.035543
V28 2.2489796 4.241044 9.841744 0.4971944 3.035547
V29 2.3285714 4.241044 9.841744 0.4971952 3.035552
V30 2.4081633 4.241044 9.841744 0.4971939 3.035544
V31 2.4877551 4.241044 9.841744 0.4971940 3.035545
V32 2.5673469 4.241044 9.841744 0.4971938 3.035543
V33 2.6469388 4.241044 9.841744 0.4971938 3.035543
V34 2.7265306 4.241044 9.841744 0.4971942 3.035545
V35 2.8061224 4.241044 9.841744 0.4971939 3.035544
V36 2.8857143 4.241044 9.841744 0.4971939 3.035543
V37 2.9653061 4.241044 9.841744 0.4971937 3.035543
V38 3.0448980 4.241044 9.841744 0.4971940 3.035544
V39 3.1244898 4.241044 9.841744 0.4971939 3.035544
V40 3.2040816 4.241044 9.841744 0.4971938 3.035543
V41 3.2836735 4.241044 9.841744 0.4971939 3.035543
V42 3.3632653 4.241044 9.841744 0.4971937 3.035543
V43 3.4428571 4.241044 9.841744 0.4971942 3.035545
V44 3.5224490 4.241044 9.841744 0.4971938 3.035543
V45 3.6020408 4.241044 9.841744 0.4971951 3.035552
V46 3.6816327 4.241044 9.841744 0.4971940 3.035544
V47 3.7612245 4.241044 9.841744 0.4971938 3.035543
V48 3.8408163 4.241044 9.841744 0.4971947 3.035549
V49 3.9204082 4.241044 9.841744 0.4971938 3.035543
V50 4.0000000 4.241044 9.841744 0.4971955 3.035554

$bobyqa
            I        T        L         S        A
V1  0.1000000 4.241044 9.841744 0.4971956 3.035555
V2  0.1795918 4.241044 9.841744 0.4971955 3.035554
V3  0.2591837 4.241044 9.841744 0.4971957 3.035555
V4  0.3387755 4.241044 9.841744 0.4971956 3.035555
V5  0.4183673 4.241044 9.841744 0.4971953 3.035553
V6  0.4979592 4.241044 9.841744 0.4971954 3.035554
V7  0.5775510 4.241044 9.841744 0.4971956 3.035555
V8  0.6571429 4.241044 9.841744 0.4971960 3.035557
V9  0.7367347 4.241044 9.841744 0.4971956 3.035555
V10 0.8163265 4.241044 9.841744 0.4971950 3.035551
V11 0.8959184 4.241044 9.841744 0.4971955 3.035554
V12 0.9755102 4.241044 9.841744 0.4971956 3.035555
V13 1.0551020 4.241044 9.841744 0.4971954 3.035553
V14 1.1346939 4.241044 9.841744 0.4971955 3.035555
V15 1.2142857 4.241044 9.841744 0.4971955 3.035554
V16 1.2938776 4.241044 9.841744 0.4971956 3.035555
V17 1.3734694 4.241044 9.841744 0.4971955 3.035554
V18 1.4530612 4.241044 9.841744 0.4971955 3.035554
V19 1.5326531 4.241044 9.841744 0.4971947 3.035549
V20 1.6122449 4.241044 9.841744 0.4971955 3.035554
V21 1.6918367 4.241044 9.841744 0.4971956 3.035555
V22 1.7714286 4.241044 9.841744 0.4971953 3.035553
V23 1.8510204 4.241044 9.841744 0.4971969 3.035563
V24 1.9306122 4.241044 9.841744 0.4971956 3.035555
V25 2.0102041 4.241044 9.841744 0.4971956 3.035555
V26 2.0897959 4.241045 9.841744 0.4971919 3.035530
V27 2.1693878 4.241044 9.841744 0.4971958 3.035556
V28 2.2489796 4.241044 9.841744 0.4971957 3.035555
V29 2.3285714 4.241044 9.841744 0.4971954 3.035553
V30 2.4081633 4.241044 9.841744 0.4971956 3.035555
V31 2.4877551 4.241044 9.841744 0.4971960 3.035557
V32 2.5673469 4.241044 9.841744 0.4971967 3.035562
V33 2.6469388 4.241044 9.841744 0.4971955 3.035554
V34 2.7265306 4.241044 9.841744 0.4972189 3.035711
V35 2.8061224 4.241044 9.841744 0.4971957 3.035556
V36 2.8857143 4.241044 9.841744 0.4971946 3.035548
V37 2.9653061 4.241044 9.841744 0.4971954 3.035554
V38 3.0448980 4.241045 9.841744 0.4971925 3.035534
V39 3.1244898 4.241044 9.841744 0.4971949 3.035549
V40 3.2040816 4.241044 9.841744 0.4971952 3.035552
V41 3.2836735 4.241044 9.841744 0.4971936 3.035542
V42 3.3632653 4.241044 9.841744 0.4971965 3.035561
V43 3.4428571 4.241044 9.841744 0.4971989 3.035576
V44 3.5224490 4.241044 9.841744 0.4971956 3.035555
V45 3.6020408 4.241044 9.841744 0.4971959 3.035557
V46 3.6816327 4.241044 9.841744 0.4971970 3.035564
V47 3.7612245 4.241044 9.841744 0.4971955 3.035554
V48 3.8408163 4.241044 9.841744 0.4971952 3.035553
V49 3.9204082 4.241044 9.841744 0.4971955 3.035554
V50 4.0000000 4.241044 9.841744 0.4971955 3.035554

$`L-BFGS-B`
            I        T        L          S         A
V1  0.1000000 4.241044 9.841744 -0.4972572  3.035952
V2  0.1795918 4.241044 9.841744  0.4972114  3.035659
V3  0.2591837 4.241044 9.841744  0.4972315  3.035787
V4  0.3387755 4.241044 9.841744  0.4972423  3.035860
V5  0.4183673 4.241044 9.841744  0.4972584  3.035959
V6  0.4979592 4.241044 9.841744 -0.4972548  3.035936
V7  0.5775510 4.241044 9.841744 -0.4972617  3.035983
V8  0.6571429 4.241044 9.841744 -0.4972496  3.035905
V9  0.7367347 4.241044 9.841744 -0.4972359  3.035812
V10 0.8163265 4.241044 9.841744  0.4972585  3.035959
V11 0.8959184 4.241044 9.841744  0.4972217  3.035731
V12 0.9755102 4.241044 9.841744  0.4972474  3.035894
V13 1.0551020 4.241044 9.841744  0.4972265  3.035791
V14 1.1346939 4.241044 9.841744  0.4972585  3.035959
V15 1.2142857 4.241044 9.841744  0.4972275  3.035767
V16 1.2938776 4.235763 9.805246  1.4600038  9.070814
V17 1.3734694 4.235765 9.805247  1.4533740  9.029553
V18 1.4530612 4.235765 9.805247  1.4539331  9.033024
V19 1.5326531 4.235756 9.805240  1.4942006  9.283226
V20 1.6122449 4.235753 9.805237  1.5165466  9.422019
V21 1.6918367 4.241044 9.841744 -0.4972571  3.035952
V22 1.7714286 4.241044 9.841744 -0.4972586  3.035961
V23 1.8510204 4.241044 9.841744 -0.4972635  3.035994
V24 1.9306122 4.241044 9.841744 -0.4972584  3.035959
V25 2.0102041 4.241044 9.841744 -0.4972464  3.035900
V26 2.0897959 4.241044 9.841744 -0.4972588  3.035957
V27 2.1693878 4.241044 9.841744 -0.4971992  3.035572
V28 2.2489796 4.241044 9.841744  0.4972583  3.035959
V29 2.3285714 4.241044 9.841744 -0.4972584  3.035958
V30 2.4081633 4.241044 9.841744 -0.4972608  3.035970
V31 2.4877551 4.241045 9.841744 -0.4971938  3.035525
V32 2.5673469 4.241044 9.841744 -0.4972584  3.035959
V33 2.6469388 4.241044 9.841744 -0.4972609  3.035974
V34 2.7265306 4.241044 9.841744 -0.4972585  3.035959
V35 2.8061224 4.241044 9.841744 -0.4972989  3.036210
V36 2.8857143 4.235734 9.805223 -4.1401290 25.721822
V37 2.9653061 4.235734 9.805223 -4.1523367 25.797665
V38 3.0448980 4.235734 9.805223 -4.1572540 25.828206
V39 3.1244898 4.235734 9.805223 -4.1747823 25.937114
V40 3.2040816 4.241044 9.841744  0.4972586  3.035961
V41 3.2836735 4.241044 9.841744  0.4972600  3.035967
V42 3.3632653 4.241044 9.841744  0.4972617  3.035994
V43 3.4428571 4.241044 9.841744  0.4972596  3.035967
V44 3.5224490 4.241044 9.841744  0.4972585  3.035959
V45 3.6020408 4.241044 9.841744  0.4972624  3.035966
V46 3.6816327 4.241044 9.841744  0.4972334  3.035832
V47 3.7612245 4.241044 9.841744  0.4972014  3.035629
V48 3.8408163 4.241044 9.841744  0.4972585  3.035960
V49 3.9204082 4.241044 9.841744  0.4972572  3.035953
V50 4.0000000 4.241044 9.841744  0.4972667  3.036009

$nlminb
            I        T        L          S         A
V1  0.1000000 4.241044 9.841744  0.4971962  3.035556
V2  0.1795918 4.241044 9.841744  0.4971955  3.035554
V3  0.2591837 4.241044 9.841744  0.4971956  3.035554
V4  0.3387755 4.241044 9.841744  0.4971955  3.035554
V5  0.4183673 4.241044 9.841744  0.4971956  3.035555
V6  0.4979592 4.241044 9.841744 -0.4971956  3.035554
V7  0.5775510 4.241044 9.841744 -0.4971956  3.035555
V8  0.6571429 4.241044 9.841744 -0.4971974  3.035563
V9  0.7367347 4.241044 9.841744 -0.4971983  3.035569
V10 0.8163265 4.241044 9.841744  0.4971955  3.035554
V11 0.8959184 4.241044 9.841744  0.4971956  3.035554
V12 0.9755102 4.241044 9.841744  0.4971956  3.035555
V13 1.0551020 4.241044 9.841744  0.4971956  3.035555
V14 1.1346939 4.241044 9.841744  0.4971955  3.035554
V15 1.2142857 4.241044 9.841744  0.4971956  3.035555
V16 1.2938776 4.241044 9.841744  0.4971958  3.035556
V17 1.3734694 4.241044 9.841744  0.4971958  3.035556
V18 1.4530612 4.241044 9.841744  0.4971956  3.035555
V19 1.5326531 4.241044 9.841744  0.4971961  3.035558
V20 1.6122449 4.241044 9.841744  0.4971999  3.035586
V21 1.6918367 4.241044 9.841744 -0.4971956  3.035555
V22 1.7714286 4.241044 9.841744 -0.4971963  3.035560
V23 1.8510204 4.241044 9.841744 -0.4971952  3.035552
V24 1.9306122 4.241044 9.841744 -0.4971955  3.035554
V25 2.0102041 4.241044 9.841744 -0.4971952  3.035551
V26 2.0897959 4.241044 9.841744  0.4971946  3.035545
V27 2.1693878 4.241044 9.841744  0.4971957  3.035556
V28 2.2489796 4.241044 9.841744 -0.4971942  3.035545
V29 2.3285714 4.241044 9.841744 -0.4971956  3.035555
V30 2.4081633 4.241044 9.841744 -0.4971945  3.035547
V31 2.4877551 4.241044 9.841744 -0.4971956  3.035554
V32 2.5673469 4.235734 9.805223 -2.2776385 14.150529
V33 2.6469388 4.241044 9.841744  0.4971955  3.035554
V34 2.7265306 4.241044 9.841744 -0.4971955  3.035554
V35 2.8061224 4.241044 9.841744  0.4971956  3.035555
V36 2.8857143 4.235734 9.805223  3.4926955 21.699444
V37 2.9653061 4.241044 9.841744  0.4971956  3.035555
V38 3.0448980 4.241044 9.841744  0.4971955  3.035554
V39 3.1244898 4.241044 9.841744  0.4971955  3.035554
V40 3.2040816 4.241044 9.841744  0.4971955  3.035554
V41 3.2836735 4.241044 9.841744  0.4971981  3.035569
V42 3.3632653 4.241044 9.841744  0.4971955  3.035555
V43 3.4428571 4.235734 9.805223  4.4904907 27.898553
V44 3.5224490 4.235739 9.805226  1.6854346 10.471267
V45 3.6020408 4.241044 9.841744  0.4971956  3.035555
V46 3.6816327 4.241044 9.841744  0.4971961  3.035560
V47 3.7612245 4.241044 9.841744  0.4971954  3.035554
V48 3.8408163 4.241044 9.841744  0.4971954  3.035554
V49 3.9204082 4.241044 9.841744  0.4971956  3.035555
V50 4.0000000 4.241044 9.841744  0.4971961  3.035560

$ucminf
            I        T        L          S        A
V1  0.1000000 4.241045 9.841744  0.4971837 3.035476
V2  0.1795918 4.241045 9.841744  0.4971776 3.035436
V3  0.2591837 4.241045 9.841744  0.4971871 3.035490
V4  0.3387755 4.241045 9.841744  0.4971850 3.035481
V5  0.4183673 4.241044 9.841744  0.4971946 3.035542
V6  0.4979592 4.241044 9.841744 -0.4971964 3.035559
V7  0.5775510 4.241045 9.841744  0.4971875 3.035492
V8  0.6571429 4.241044 9.841744 -0.4971964 3.035559
V9  0.7367347 4.241044 9.841744 -0.4971964 3.035559
V10 0.8163265 4.241045 9.841744  0.4971783 3.035439
V11 0.8959184 4.241045 9.841744  0.4971936 3.035534
V12 0.9755102 4.241045 9.841744  0.4971934 3.035533
V13 1.0551020 4.241045 9.841744  0.4971860 3.035481
V14 1.1346939 4.241045 9.841744  0.4971914 3.035518
V15 1.2142857 4.241044 9.841744  0.4971956 3.035550
V16 1.2938776 4.241044 9.841744 -0.4971964 3.035559
V17 1.3734694 4.241044 9.841744 -0.4971964 3.035559
V18 1.4530612 4.241044 9.841744 -0.4971964 3.035559
V19 1.5326531 4.241044 9.841744 -0.4971964 3.035558
V20 1.6122449 4.241044 9.841744 -0.4971964 3.035559
V21 1.6918367 4.241044 9.841744 -0.4971955 3.035553
V22 1.7714286 4.241044 9.841744 -0.4971964 3.035559
V23 1.8510204 4.241044 9.841744  0.4971954 3.035548
V24 1.9306122 4.241045 9.841744  0.4971779 3.035442
V25 2.0102041 4.241044 9.841744 -0.4971964 3.035559
V26 2.0897959 4.241045 9.841744  0.4971774 3.035436
V27 2.1693878 4.241045 9.841744  0.4971854 3.035494
V28 2.2489796 4.241045 9.841744  0.4971774 3.035436
V29 2.3285714 4.241045 9.841744  0.4971774 3.035437
V30 2.4081633 4.241045 9.841744  0.4971775 3.035437
V31 2.4877551 4.241045 9.841744  0.4971894 3.035523
V32 2.5673469 4.241045 9.841744  0.4971775 3.035437
V33 2.6469388 4.241045 9.841744  0.4971797 3.035457
V34 2.7265306 4.241044 9.841744  0.4971953 3.035554
V35 2.8061224 4.241045 9.841744  0.4971820 3.035459
V36 2.8857143 4.241044 9.841744 -0.4971964 3.035559
V37 2.9653061 4.241044 9.841744 -0.4971965 3.035559
V38 3.0448980 4.241044 9.841744 -0.4971968 3.035561
V39 3.1244898 4.241044 9.841744 -0.4971956 3.035553
V40 3.2040816 4.241044 9.841744 -0.4971964 3.035559
V41 3.2836735 4.241044 9.841744 -0.4971964 3.035559
V42 3.3632653 4.241044 9.841744 -0.4971964 3.035558
V43 3.4428571 4.241044 9.841744 -0.4971965 3.035559
V44 3.5224490 4.241044 9.841744 -0.4971964 3.035559
V45 3.6020408 4.241044 9.841744 -0.4971964 3.035558
V46 3.6816327 4.241045 9.841744  0.4971777 3.035438
V47 3.7612245 4.241045 9.841744  0.4971778 3.035439
V48 3.8408163 4.241045 9.841744  0.4971781 3.035440
V49 3.9204082 4.241045 9.841744  0.4971775 3.035437
V50 4.0000000 4.241045 9.841744  0.4971775 3.035437

$`Nelder-Mead`
            I        T        L         S         A
V1  0.1000000 4.241044 9.841744 0.4972165  3.035824
V2  0.1795918 4.241046 9.841744 0.4970748  3.034651
V3  0.2591837 4.235734 9.805223 2.0548203 12.766533
V4  0.3387755 4.241048 9.841744 0.4967997  3.033428
V5  0.4183673 4.241046 9.841744 0.4970873  3.034788
V6  0.4979592 4.241043 9.841744 0.4973158  3.036379
V7  0.5775510 4.241045 9.841744 0.4971917  3.035510
V8  0.6571429 4.241045 9.841744 0.4971650  3.035404
V9  0.7367347 4.241045 9.841744 0.4971699  3.035448
V10 0.8163265 4.241044 9.841744 0.4972118  3.035585
V11 0.8959184 4.241044 9.841744 0.4972619  3.035995
V12 0.9755102 4.241044 9.841744 0.4971892  3.035642
V13 1.0551020 4.241045 9.841744 0.4971198  3.035007
V14 1.1346939 4.241043 9.841744 0.4973611  3.036768
V15 1.2142857 4.241045 9.841744 0.4971802  3.035225
V16 1.2938776 4.241043 9.841744 0.4973319  3.036371
V17 1.3734694 4.241043 9.841744 0.4973234  3.036369
V18 1.4530612 4.241045 9.841744 0.4972041  3.035527
V19 1.5326531 4.241046 9.841744 0.4971262  3.034831
V20 1.6122449 4.241046 9.841744 0.4970811  3.034676
V21 1.6918367 4.241047 9.841744 0.4968983  3.033617
V22 1.7714286 4.241045 9.841744 0.4970951  3.035192
V23 1.8510204 4.241046 9.841744 0.4970164  3.034531
V24 1.9306122 4.241045 9.841744 0.4971217  3.035201
V25 2.0102041 4.241046 9.841744 0.4970485  3.034599
V26 2.0897959 4.241045 9.841744 0.4971456  3.035281
