#Returns a data frame with the initial values (I), theta estimates (T)
#Log likelihoods (L), sigma (S), and alpha (A)

$bobyqa
             I        T        L          S          A
V1  0.00100000 4.241044 9.841744  0.4971955   3.035555
V2  0.02138776 4.241044 9.841744  0.4971955   3.035555
V3  0.04177551 4.241044 9.841744  0.4971956   3.035555
V4  0.06216327 4.241044 9.841744  0.4971956   3.035555
V5  0.08255102 4.241044 9.841744  0.4971958   3.035556
V6  0.10293878 4.241044 9.841744  0.4971952   3.035552
V7  0.12332653 4.235734 9.805223 18.5754303 115.405564
V8  0.14371429 4.241044 9.841744  0.4971936   3.035542
V9  0.16410204 4.241044 9.841744  0.4971954   3.035553
V10 0.18448980 4.241044 9.841744  0.4971955   3.035554
V11 0.20487755 4.241044 9.841744  0.4971955   3.035555
V12 0.22526531 4.241044 9.841744  0.4971955   3.035555
V13 0.24565306 4.241044 9.841744  0.4971956   3.035555
V14 0.26604082 4.241044 9.841744  0.4971955   3.035554
V15 0.28642857 4.241044 9.841744  0.4971955   3.035554
V16 0.30681633 4.241044 9.841744  0.4971955   3.035554
V17 0.32720408 4.241044 9.841744  0.4971954   3.035553
V18 0.34759184 4.241044 9.841744  0.4971954   3.035553
V19 0.36797959 4.241044 9.841744  0.4971956   3.035555
V20 0.38836735 4.241044 9.841744  0.4971954   3.035554
V21 0.40875510 4.241044 9.841744  0.4971956   3.035555
V22 0.42914286 4.241044 9.841744  0.4971953   3.035553
V23 0.44953061 4.241044 9.841744  0.4971952   3.035552
V24 0.46991837 4.241044 9.841744  0.4971960   3.035558
V25 0.49030612 4.241044 9.841744  0.4971956   3.035555
V26 0.51069388 4.241044 9.841744  0.4971956   3.035555
V27 0.53108163 4.241044 9.841744  0.4971955   3.035554
V28 0.55146939 4.241044 9.841744  0.4971957   3.035555
V29 0.57185714 4.241044 9.841744  0.4971950   3.035551
V30 0.59224490 4.241044 9.841744  0.4971953   3.035553
V31 0.61263265 4.241044 9.841744  0.4971955   3.035554
V32 0.63302041 4.241044 9.841744  0.4971956   3.035555
V33 0.65340816 4.241044 9.841744  0.4971956   3.035555
V34 0.67379592 4.241044 9.841744  0.4971958   3.035556
